dayIndex,a_m commits,n_z commits
0,0,0
1,0,0
2,0,0
3,0,1
4,0,1
5,0,0
6,1,1
7,0,1
8,0,0
9,2,0
10,0,0
11,0,1
12,0,2
13,2,5
14,24,1
15,15,2
16,1,5
17,0,0
18,20,1
19,24,3
20,9,2
21,13,5
22,9,5
23,0,4
24,7,0
25,6,1
26,11,8
27,8,5
28,5,9
29,1,1
30,1,4
